Feature,Signal,Feature Space,ANOVA,MI,RF,Evidence Score
mfcc_1_mean,1,1,1,1,1,5
rms,1,0,1,1,1,4
mfcc_8_mean,0,1,1,1,1,4
mfcc_2_std,1,0,1,1,1,4
mfcc_1_std,1,0,0,1,1,3
centroid_iqr,1,1,0,1,0,3
mfcc_9_mean,0,0,1,1,1,3
centroid_std,1,1,0,1,0,3
mfcc_6_mean,0,0,1,1,1,3
mfcc_5_std,0,0,1,1,1,3
mfcc_6_std,0,0,1,0,1,2
mfcc_2_mean,1,1,0,0,0,2
mfcc_5_mean,0,0,1,0,0,1
mfcc_3_mean,1,0,0,0,0,1
mfcc_7_mean,0,0,1,0,0,1
mfcc_8_std,0,0,0,0,1,1
centroid_q25,0,0,0,0,0,0
mfcc_16_mean,0,0,0,0,0,0
centroid_mean,0,0,0,0,0,0
mfcc_15_mean,0,0,0,0,0,0
mfcc_17_mean,0,0,0,0,0,0
mfcc_19_mean,0,0,0,0,0,0
centroid_q75,0,0,0,0,0,0
mfcc_20_mean,0,0,0,0,0,0
mfcc_18_mean,0,0,0,0,0,0
mfcc_13_mean,0,0,0,0,0,0
mfcc_12_mean,0,0,0,0,0,0
mfcc_3_std,0,0,0,0,0,0
mfcc_11_mean,0,0,0,0,0,0
mfcc_10_mean,0,0,0,0,0,0
centroid_max,0,0,0,0,0,0
mfcc_13_std,0,0,0,0,0,0
mfcc_16_std,0,0,0,0,0,0
mfcc_18_std,0,0,0,0,0,0
mfcc_4_std,0,0,0,0,0,0
mfcc_11_std,0,0,0,0,0,0
mfcc_7_std,0,0,0,0,0,0
mfcc_17_std,0,0,0,0,0,0
mfcc_10_std,0,0,0,0,0,0
mfcc_19_std,0,0,0,0,0,0
centroid_min,0,0,0,0,0,0
mfcc_4_mean,0,0,0,0,0,0
mfcc_14_std,0,0,0,0,0,0
mfcc_12_std,0,0,0,0,0,0
mfcc_9_std,0,0,0,0,0,0
centroid_delta,0,0,0,0,0,0
mfcc_15_std,0,0,0,0,0,0
mfcc_20_std,0,0,0,0,0,0
mfcc_14_mean,0,0,0,0,0,0
