,Normal,Overlap,Obvious
mfcc_1_mean,-309.69644,-313.33344,-253.89572
mfcc_2_mean,66.77216,70.7785,61.043694
mfcc_3_mean,4.7686224,3.4948297,-8.459711
mfcc_4_mean,11.028834,11.674437,16.877604
mfcc_5_mean,5.454135,0.5516919,-4.0474815
mfcc_6_mean,9.603783,6.055654,0.512956
mfcc_7_mean,5.703044,2.2352004,5.261616
mfcc_8_mean,4.776057,2.6212788,3.4959083
mfcc_9_mean,0.09107752,-0.21962449,-7.1861916
mfcc_10_mean,0.64804393,-1.9067491,1.2633054
mfcc_11_mean,-2.9093323,-3.6691604,-1.0172676
mfcc_12_mean,-1.7060778,-0.36217278,-1.6899035
mfcc_13_mean,-0.7364763,1.1722372,1.2404654
mfcc_14_mean,1.0733348,1.462348,2.7288628
mfcc_15_mean,-2.7450728,0.48576015,0.23115599
mfcc_16_mean,2.6389432,1.4766955,2.3489633
mfcc_17_mean,-0.63085186,0.41597396,0.63073343
mfcc_18_mean,-1.2737122,-1.9046818,-1.611099
mfcc_19_mean,-3.7123497,-2.2780597,-4.425613
mfcc_20_mean,-2.965262,-1.6963747,-1.3813642
